Designator,Footprint,Quantity,Value,LCSC Part #
"ANT1, ANT2, ANT3",SMA_Samtec_SMA-J-P-H-ST-EM1_EdgeMount,3,Antenna_Shield,
ANT4,SMA_Samtec_SMA-J-P-H-ST-EM1_EdgeMount,1,Antenna,
BT1,MYOUNG MY-927-01,1,Battery,
"C1, C2, C22, C23, C25, C26, C27, C28, C31, C4, C6",0603,11,100nF,
"C10, C20, C21, C24, C3",0603,5,1uF,
"C11, C16, C17, C19, C5, C9",0603,6,27pF,
"C12, C13, C14, C15",0603,4,10uF,
C18,0603,1,470nF,
"C30, C33",0603,2,330pF,
C32,0603,1,22pF,
"C34, C36, C37",0805,3,1uF,
C35,0805,1,100nF,
C7,0603,1,22n,
C8,0603,1,18pF,
"D1, D2",SOT-23W,2,BAV99,
D3,LED_WS2812B-4020,1,WS2812B-4020,
IC1,SOIC127P600X175-16N,1,SI4732-A10-GS,
IC3,SOP50P490X110-10N,1,TCA9537DGSR,
J1,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03,
"J2, J3",PinHeader_1x02_P2.00mm_Vertical,2,Conn_01x02_Pin,
J4,USB-C_SMD-TYPE-C-31-M-12,1,TYPE-C-31-M-12,
J5,PinHeader_1x03_P2.54mm_Vertical_SMD_Pin1Left,1,Headphones,
J6,PinHeader_1x05_P2.54mm_Vertical_SMD_Pin1Right,1,Conn_01x05,
J7,PinHeader_1x07_P2.54mm_Vertical,1,DISP LEFT,
J8,PinHeader_1x07_P2.54mm_Vertical,1,DISP RIGHT,
JP1,SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,1,Jumper_2_Small_Open,
L1,0805,1,180nH,
"L2, L3, L4, L6",0805,4,56nH,
"L5, L7",0603,2,4.7uH,
Q1,SOT-23,1,2SK508G-K51-AE3-R,
Q2,SOT-23,1,SI2302,
"R1, R19, R2, R24, R25, R28, R29, R31, R36, R37",0603,10,0R,
"R10, R18, R3, R41",0603,4,2k,
"R11, R33",0603,2,1M,
"R12, R26, R27",0603,3,100R,
"R13, R32, R34, R38, R39, R40",0603,6,10k,
"R14, R17, R22, R23",0603,4,10K,C17414
R15,0603,1,5.1k,
R16,0805,1,5.1k,
R20,0603,1,0R,C17414
R21,0603,1,N.C.,C17414
R30,0603,1,22,
R35,0805,1,10k,
"R4, R5",0603,2,100K,
R6,0603,1,N.C.,
R7,0603,1,330K,
R8,0603,1,680K,
R9,0603,1,600R,
S1,SSCM110100,1,SSCM110100,
SW1,SW-SMD_4P-CORR-L5.2-W5.2-P3.70-LS6.4,1,SW_Push,
"T1, T2, T3, T4, T5, T6, T7, T8",TestPoint_Pad_D1.0mm,8,TestPoint,
U+1,TestPoint_Pad_D1.0mm,1,U+,
U-1,TestPoint_Pad_D1.0mm,1,U-,
U1,SSOP-24_3.9x8.7mm_P0.635mm,1,Si4735-D60-GU,
U10,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,1,LSM6DS3,
U12,TSOT-23-6,1,TP4057,
"U2, U3",TQFN-16_L3.0-W3.0-P0.50-BL-EP1.5,2,MAX98357AETE+T,
U4,QFN-20-1EP_4x4mm_P0.5mm_EP2.7x2.7mm,1,TPA6130A2RTJTR,  TPA6130A2RTJTR
U5,Bosch_LGA-8_3x3mm_P0.8mm_ClockwisePinNumbering,1,BME690,
U6,GC9A01_Touch_IPS_display_reversed_16pin,1,~,
"U7, U9",SOT-23-5,2,RT9013,
U8,Heltec_HT-CT62,1,HT-CT62,
X1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,X322525MMB4SI,
Y1,MSOP-10_3x3mm_P0.5mm,1,Si5351A-B-GT,
Y2,RV3032C7,1,RV-3032-C7,
