Designator,Mid X,Mid Y,Rotation,Layer
ANT1,79.856396,-94.94743,165.0,top
ANT2,88.84,-118.7,240.0,top
ANT3,79.35,-105.59,200.0,top
ANT4,109.400873,-118.99113,290.0,top
BT1,99.35,-119.26,182.0,bottom
C1,89.12,-90.46,90.0,top
C10,113.74,-114.17,90.0,top
C11,86.71,-103.595,270.0,top
C12,110.83,-103.6,270.0,top
C13,112.36,-103.65,270.0,top
C14,113.89,-103.65,270.0,top
C15,115.4,-103.64,270.0,top
C16,84.44,-103.76,0.0,top
C17,84.41,-102.2,0.0,top
C18,91.18,-114.04,270.0,top
C19,83.97,-106.205,270.0,top
C2,102.37,-108.16,0.0,top
C20,108.47,-102.86,270.0,top
C21,113.51,-95.12,90.0,top
C22,107.705,-100.45,0.0,top
C23,112.0,-95.12,90.0,top
C24,105.47,-98.49,90.0,top
C25,110.429,-95.12,90.0,top
C26,102.46,-112.67,0.0,top
C27,108.95,-116.45,180.0,top
C28,89.095,-87.46,0.0,top
C3,95.86,-83.98,90.0,top
C30,113.36,-92.0,270.0,top
C31,102.39,-106.65,0.0,top
C32,113.77,-108.56,270.0,top
C33,111.83,-92.0,270.0,top
C34,103.46,-98.61,90.0,top
C35,88.17,-113.53,90.0,bottom
C36,110.98,-101.25,270.0,bottom
C37,111.36,-98.27,180.0,bottom
C4,104.77,-83.4075,90.0,top
C5,85.36,-96.83,0.0,top
C6,82.345001,-95.45,0.0,top
C7,100.13,-107.43,270.0,top
C8,90.34,-109.69,0.0,top
C9,87.51,-101.28,0.0,top
D1,88.39077,-116.38,30.0,bottom
D2,107.19,-118.93,340.0,bottom
D3,112.303027,-83.77516,38.0,bottom
IC1,107.73,-110.5,0.0,top
IC3,112.69,-93.57,0.0,bottom
J1,98.64,-98.22,270.0,bottom
J2,96.62,-80.17,90.0,top
J3,101.06,-80.67,90.0,top
J4,116.828092,-108.669781,295.0,bottom
J5,109.325,-86.1,180.0,top
J6,86.965,-95.87,180.0,bottom
J7,92.149697,-90.67,0.0,bottom
J8,107.649697,-90.67,0.0,bottom
L1,89.54,-107.94,0.0,top
L2,84.97,-99.5,270.0,top
L3,81.9,-100.48,180.0,top
L4,90.27,-111.55,180.0,top
L5,89.3,-114.2,270.0,top
L6,81.86,-103.35,270.0,top
L7,105.76,-116.44,0.0,top
Q1,93.8975,-115.97,0.0,top
Q2,103.445,-84.05,90.0,bottom
R1,100.04,-110.93,270.0,top
R10,93.82,-102.71,270.0,top
R11,91.06,-117.05,270.0,top
R12,96.63,-115.81,90.0,top
R13,118.46,-94.55,270.0,top
R14,100.28,-102.8675,90.0,top
R15,112.81,-104.56,0.0,bottom
R16,110.85,-112.98,90.0,bottom
R17,98.77,-102.7,90.0,top
R18,103.07,-110.42,90.0,top
R19,106.91,-103.74,270.0,top
R2,101.54,-110.42,270.0,top
R20,98.1,-119.27,270.0,top
R21,96.56,-119.2825,270.0,top
R22,102.66,-119.42,270.0,top
R23,100.4,-120.32,0.0,top
R24,116.91,-92.39,90.0,top
R25,114.91,-92.2,90.0,top
R26,115.11,-95.16,90.0,top
R27,110.31,-92.0,90.0,top
R28,112.98,-106.29,0.0,top
R29,112.22,-113.74,270.0,top
R3,95.56,-102.73,270.0,top
R30,99.27,-83.39,270.0,bottom
R31,112.24,-108.555,90.0,top
R32,100.92,-83.475,270.0,bottom
R33,104.79,-81.15,0.0,bottom
R34,96.06,-85.69,0.0,bottom
R35,88.14,-109.75,270.0,bottom
R36,100.39,-118.74,180.0,top
R37,105.45,-101.465,90.0,top
R38,95.65,-83.09,180.0,bottom
R39,111.4,-96.28,180.0,bottom
R4,100.84,-83.39,270.0,top
R40,110.52,-104.66,270.0,bottom
R41,118.93,-105.59,270.0,top
R5,102.4675,-91.44,0.0,top
R6,102.13,-93.78,0.0,top
R7,98.31,-83.55,180.0,top
R8,103.72,-89.85,0.0,top
R9,97.24,-102.71,90.0,top
S1,113.847701,-87.335303,310.0,top
SW1,84.496161,-103.746339,62.0,bottom
U1,95.8,-109.5725,270.0,top
U10,89.0,-85.13,0.0,bottom
U12,116.68,-108.1425,90.0,top
U2,96.592,-87.84,90.0,top
U3,102.56,-86.892,0.0,top
U4,111.86,-99.28,180.0,top
U5,88.9,-84.92,0.0,top
U6,99.83,-91.55,0.0,bottom
U7,102.7225,-102.59,90.0,top
U8,99.79,-108.56,270.0,bottom
U9,113.6625,-101.56,270.0,bottom
X1,88.85,-98.33,270.0,top
Y1,87.07,-94.31,90.0,top
Y2,101.92,-114.89,0.0,top
